timestamp,error_code,source_device,log_message
2024-01-01 00:00:00,OK00,switch-02,System operating within normal parameters
2024-01-01 00:15:00,OK00,router-01,System operating within normal parameters
2024-01-01 00:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 00:45:00,E001,switch-02,High CPU utilization detected
2024-01-01 01:00:00,OK00,switch-02,System operating within normal parameters
2024-01-01 01:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 01:30:00,E005,gateway-04,Authentication failure
2024-01-01 01:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 02:00:00,E003,firewall-03,Network connectivity issues
2024-01-01 02:15:00,E004,gateway-04,Packet loss detected
2024-01-01 02:30:00,OK00,switch-02,System operating within normal parameters
2024-01-01 02:45:00,OK00,switch-02,System operating within normal parameters
2024-01-01 03:00:00,OK00,switch-02,System operating within normal parameters
2024-01-01 03:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 03:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 03:45:00,E001,load-balancer-05,High CPU utilization detected
2024-01-01 04:00:00,OK00,switch-02,System operating within normal parameters
2024-01-01 04:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 04:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 04:45:00,E005,router-01,Authentication failure
2024-01-01 05:00:00,OK00,router-01,System operating within normal parameters
2024-01-01 05:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 05:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 05:45:00,OK00,router-01,System operating within normal parameters
2024-01-01 06:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 06:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 06:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 06:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 07:00:00,E001,switch-02,High CPU utilization detected
2024-01-01 07:15:00,OK00,router-01,System operating within normal parameters
2024-01-01 07:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 07:45:00,E003,load-balancer-05,Network connectivity issues
2024-01-01 08:00:00,E001,router-01,High CPU utilization detected
2024-01-01 08:15:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 08:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 08:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 09:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 09:15:00,OK00,router-01,System operating within normal parameters
2024-01-01 09:30:00,E003,gateway-04,Network connectivity issues
2024-01-01 09:45:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 10:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 10:15:00,OK00,router-01,System operating within normal parameters
2024-01-01 10:30:00,E003,firewall-03,Network connectivity issues
2024-01-01 10:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 11:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 11:15:00,E004,router-01,Packet loss detected
2024-01-01 11:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 11:45:00,E005,firewall-03,Authentication failure
2024-01-01 12:00:00,OK00,router-01,System operating within normal parameters
2024-01-01 12:15:00,E003,router-01,Network connectivity issues
2024-01-01 12:30:00,E002,switch-02,Memory usage exceeded threshold
2024-01-01 12:45:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 13:00:00,OK00,router-01,System operating within normal parameters
2024-01-01 13:15:00,OK00,router-01,System operating within normal parameters
2024-01-01 13:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 13:45:00,E001,gateway-04,High CPU utilization detected
2024-01-01 14:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 14:15:00,E005,router-01,Authentication failure
2024-01-01 14:30:00,OK00,router-01,System operating within normal parameters
2024-01-01 14:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 15:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 15:15:00,E004,firewall-03,Packet loss detected
2024-01-01 15:30:00,E005,router-01,Authentication failure
2024-01-01 15:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 16:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 16:15:00,E004,gateway-04,Packet loss detected
2024-01-01 16:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 16:45:00,E002,switch-02,Memory usage exceeded threshold
2024-01-01 17:00:00,E005,firewall-03,Authentication failure
2024-01-01 17:15:00,E001,switch-02,High CPU utilization detected
2024-01-01 17:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 17:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 18:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 18:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 18:30:00,E003,gateway-04,Network connectivity issues
2024-01-01 18:45:00,OK00,switch-02,System operating within normal parameters
2024-01-01 19:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 19:15:00,OK00,router-01,System operating within normal parameters
2024-01-01 19:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-01 19:45:00,OK00,router-01,System operating within normal parameters
2024-01-01 20:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 20:15:00,OK00,switch-02,System operating within normal parameters
2024-01-01 20:30:00,OK00,router-01,System operating within normal parameters
2024-01-01 20:45:00,OK00,router-01,System operating within normal parameters
2024-01-01 21:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 21:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 21:30:00,E001,router-01,High CPU utilization detected
2024-01-01 21:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 22:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 22:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 22:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-01 22:45:00,OK00,switch-02,System operating within normal parameters
2024-01-01 23:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-01 23:15:00,E005,load-balancer-05,Authentication failure
2024-01-01 23:30:00,OK00,switch-02,System operating within normal parameters
2024-01-01 23:45:00,OK00,router-01,System operating within normal parameters
2024-01-02 00:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 00:15:00,OK00,router-01,System operating within normal parameters
2024-01-02 00:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 00:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 01:00:00,OK00,router-01,System operating within normal parameters
2024-01-02 01:15:00,OK00,router-01,System operating within normal parameters
2024-01-02 01:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-02 01:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 02:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 02:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-02 02:30:00,E004,gateway-04,Packet loss detected
2024-01-02 02:45:00,E003,router-01,Network connectivity issues
2024-01-02 03:00:00,E003,router-01,Network connectivity issues
2024-01-02 03:15:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 03:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 03:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 04:00:00,OK00,switch-02,System operating within normal parameters
2024-01-02 04:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 04:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 04:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-02 05:00:00,E001,switch-02,High CPU utilization detected
2024-01-02 05:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-02 05:30:00,OK00,router-01,System operating within normal parameters
2024-01-02 05:45:00,OK00,router-01,System operating within normal parameters
2024-01-02 06:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 06:15:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 06:30:00,OK00,router-01,System operating within normal parameters
2024-01-02 06:45:00,OK00,router-01,System operating within normal parameters
2024-01-02 07:00:00,OK00,router-01,System operating within normal parameters
2024-01-02 07:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-02 07:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 07:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-02 08:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-02 08:15:00,E001,firewall-03,High CPU utilization detected
2024-01-02 08:30:00,E002,load-balancer-05,Memory usage exceeded threshold
2024-01-02 08:45:00,E005,load-balancer-05,Authentication failure
2024-01-02 09:00:00,E001,router-01,High CPU utilization detected
2024-01-02 09:15:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 09:30:00,E002,switch-02,Memory usage exceeded threshold
2024-01-02 09:45:00,E005,gateway-04,Authentication failure
2024-01-02 10:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 10:15:00,OK00,switch-02,System operating within normal parameters
2024-01-02 10:30:00,E005,router-01,Authentication failure
2024-01-02 10:45:00,E003,gateway-04,Network connectivity issues
2024-01-02 11:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 11:15:00,E002,gateway-04,Memory usage exceeded threshold
2024-01-02 11:30:00,E003,switch-02,Network connectivity issues
2024-01-02 11:45:00,OK00,router-01,System operating within normal parameters
2024-01-02 12:00:00,OK00,switch-02,System operating within normal parameters
2024-01-02 12:15:00,E003,switch-02,Network connectivity issues
2024-01-02 12:30:00,OK00,router-01,System operating within normal parameters
2024-01-02 12:45:00,OK00,router-01,System operating within normal parameters
2024-01-02 13:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-02 13:15:00,E004,switch-02,Packet loss detected
2024-01-02 13:30:00,OK00,router-01,System operating within normal parameters
2024-01-02 13:45:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 14:00:00,OK00,router-01,System operating within normal parameters
2024-01-02 14:15:00,E004,switch-02,Packet loss detected
2024-01-02 14:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 14:45:00,OK00,switch-02,System operating within normal parameters
2024-01-02 15:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-02 15:15:00,E005,router-01,Authentication failure
2024-01-02 15:30:00,OK00,switch-02,System operating within normal parameters
2024-01-02 15:45:00,OK00,switch-02,System operating within normal parameters
2024-01-02 16:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 16:15:00,E005,switch-02,Authentication failure
2024-01-02 16:30:00,E005,load-balancer-05,Authentication failure
2024-01-02 16:45:00,E001,load-balancer-05,High CPU utilization detected
2024-01-02 17:00:00,E002,switch-02,Memory usage exceeded threshold
2024-01-02 17:15:00,E004,firewall-03,Packet loss detected
2024-01-02 17:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 17:45:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 18:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-02 18:15:00,OK00,switch-02,System operating within normal parameters
2024-01-02 18:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 18:45:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 19:00:00,E005,switch-02,Authentication failure
2024-01-02 19:15:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 19:30:00,OK00,switch-02,System operating within normal parameters
2024-01-02 19:45:00,E001,gateway-04,High CPU utilization detected
2024-01-02 20:00:00,E002,gateway-04,Memory usage exceeded threshold
2024-01-02 20:15:00,E004,gateway-04,Packet loss detected
2024-01-02 20:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 20:45:00,OK00,switch-02,System operating within normal parameters
2024-01-02 21:00:00,OK00,router-01,System operating within normal parameters
2024-01-02 21:15:00,OK00,router-01,System operating within normal parameters
2024-01-02 21:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 21:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 22:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 22:15:00,OK00,switch-02,System operating within normal parameters
2024-01-02 22:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 22:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 23:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 23:15:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-02 23:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-02 23:45:00,OK00,router-01,System operating within normal parameters
2024-01-03 00:00:00,E004,router-01,Packet loss detected
2024-01-03 00:15:00,E003,firewall-03,Network connectivity issues
2024-01-03 00:30:00,E005,switch-02,Authentication failure
2024-01-03 00:45:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 01:00:00,OK00,router-01,System operating within normal parameters
2024-01-03 01:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 01:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 01:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 02:00:00,OK00,switch-02,System operating within normal parameters
2024-01-03 02:15:00,OK00,switch-02,System operating within normal parameters
2024-01-03 02:30:00,E004,switch-02,Packet loss detected
2024-01-03 02:45:00,E004,router-01,Packet loss detected
2024-01-03 03:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 03:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 03:30:00,OK00,router-01,System operating within normal parameters
2024-01-03 03:45:00,E005,switch-02,Authentication failure
2024-01-03 04:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 04:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 04:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 04:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 05:00:00,OK00,router-01,System operating within normal parameters
2024-01-03 05:15:00,OK00,router-01,System operating within normal parameters
2024-01-03 05:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 05:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 06:00:00,OK00,router-01,System operating within normal parameters
2024-01-03 06:15:00,E004,router-01,Packet loss detected
2024-01-03 06:30:00,OK00,switch-02,System operating within normal parameters
2024-01-03 06:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 07:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 07:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 07:30:00,OK00,router-01,System operating within normal parameters
2024-01-03 07:45:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 08:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 08:15:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 08:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 08:45:00,OK00,switch-02,System operating within normal parameters
2024-01-03 09:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 09:15:00,OK00,switch-02,System operating within normal parameters
2024-01-03 09:30:00,OK00,switch-02,System operating within normal parameters
2024-01-03 09:45:00,E003,switch-02,Network connectivity issues
2024-01-03 10:00:00,OK00,router-01,System operating within normal parameters
2024-01-03 10:15:00,OK00,switch-02,System operating within normal parameters
2024-01-03 10:30:00,E001,router-01,High CPU utilization detected
2024-01-03 10:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 11:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 11:15:00,OK00,router-01,System operating within normal parameters
2024-01-03 11:30:00,OK00,router-01,System operating within normal parameters
2024-01-03 11:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 12:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 12:15:00,E004,load-balancer-05,Packet loss detected
2024-01-03 12:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 12:45:00,OK00,switch-02,System operating within normal parameters
2024-01-03 13:00:00,OK00,switch-02,System operating within normal parameters
2024-01-03 13:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 13:30:00,OK00,router-01,System operating within normal parameters
2024-01-03 13:45:00,E002,switch-02,Memory usage exceeded threshold
2024-01-03 14:00:00,OK00,switch-02,System operating within normal parameters
2024-01-03 14:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 14:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 14:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 15:00:00,OK00,router-01,System operating within normal parameters
2024-01-03 15:15:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 15:30:00,OK00,switch-02,System operating within normal parameters
2024-01-03 15:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 16:00:00,OK00,switch-02,System operating within normal parameters
2024-01-03 16:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 16:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 16:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 17:00:00,E004,load-balancer-05,Packet loss detected
2024-01-03 17:15:00,E003,load-balancer-05,Network connectivity issues
2024-01-03 17:30:00,E001,load-balancer-05,High CPU utilization detected
2024-01-03 17:45:00,OK00,switch-02,System operating within normal parameters
2024-01-03 18:00:00,OK00,switch-02,System operating within normal parameters
2024-01-03 18:15:00,OK00,router-01,System operating within normal parameters
2024-01-03 18:30:00,OK00,router-01,System operating within normal parameters
2024-01-03 18:45:00,OK00,switch-02,System operating within normal parameters
2024-01-03 19:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 19:15:00,OK00,switch-02,System operating within normal parameters
2024-01-03 19:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 19:45:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 20:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 20:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 20:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 20:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 21:00:00,OK00,switch-02,System operating within normal parameters
2024-01-03 21:15:00,OK00,switch-02,System operating within normal parameters
2024-01-03 21:30:00,E004,router-01,Packet loss detected
2024-01-03 21:45:00,OK00,router-01,System operating within normal parameters
2024-01-03 22:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-03 22:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-03 22:30:00,E003,router-01,Network connectivity issues
2024-01-03 22:45:00,E004,firewall-03,Packet loss detected
2024-01-03 23:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-03 23:15:00,OK00,switch-02,System operating within normal parameters
2024-01-03 23:30:00,OK00,switch-02,System operating within normal parameters
2024-01-03 23:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 00:00:00,OK00,router-01,System operating within normal parameters
2024-01-04 00:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 00:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-04 00:45:00,E005,load-balancer-05,Authentication failure
2024-01-04 01:00:00,OK00,switch-02,System operating within normal parameters
2024-01-04 01:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 01:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 01:45:00,OK00,router-01,System operating within normal parameters
2024-01-04 02:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 02:15:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-04 02:30:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-04 02:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 03:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-04 03:15:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-04 03:30:00,OK00,gateway-04,System operating within normal parameters
2024-01-04 03:45:00,E001,router-01,High CPU utilization detected
2024-01-04 04:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-04 04:15:00,E005,load-balancer-05,Authentication failure
2024-01-04 04:30:00,E005,firewall-03,Authentication failure
2024-01-04 04:45:00,OK00,switch-02,System operating within normal parameters
2024-01-04 05:00:00,E001,switch-02,High CPU utilization detected
2024-01-04 05:15:00,OK00,router-01,System operating within normal parameters
2024-01-04 05:30:00,OK00,router-01,System operating within normal parameters
2024-01-04 05:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 06:00:00,OK00,switch-02,System operating within normal parameters
2024-01-04 06:15:00,OK00,gateway-04,System operating within normal parameters
2024-01-04 06:30:00,OK00,router-01,System operating within normal parameters
2024-01-04 06:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 07:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-04 07:15:00,OK00,switch-02,System operating within normal parameters
2024-01-04 07:30:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 07:45:00,OK00,router-01,System operating within normal parameters
2024-01-04 08:00:00,OK00,gateway-04,System operating within normal parameters
2024-01-04 08:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 08:30:00,OK00,switch-02,System operating within normal parameters
2024-01-04 08:45:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 09:00:00,OK00,load-balancer-05,System operating within normal parameters
2024-01-04 09:15:00,OK00,switch-02,System operating within normal parameters
2024-01-04 09:30:00,E003,switch-02,Network connectivity issues
2024-01-04 09:45:00,E005,firewall-03,Authentication failure
2024-01-04 10:00:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 10:15:00,OK00,firewall-03,System operating within normal parameters
2024-01-04 10:30:00,E002,firewall-03,Memory usage exceeded threshold
2024-01-04 10:45:00,E001,gateway-04,High CPU utilization detected
